-21.7951,-0.1582,-0.6151,0.0338,-4.3696,-0.0379,-0.5604,2.9499,4.902,38.7897,4448.181
-21.7821,-0.1585,-0.606,0.036,-4.4046,-0.0333,-0.2691,2.9491,4.9325,38.8542,4470.8922
-21.7702,-0.1586,-0.5963,0.038,-4.4419,-0.0285,0.0241,2.917,4.886,38.9068,4499.7471
-21.7593,-0.1587,-0.586,0.0398,-4.4817,-0.0236,0.308,2.8551,4.764,38.9453,4536.0156
-21.7497,-0.1588,-0.5752,0.0416,-4.5244,-0.0185,0.5726,2.7663,4.5709,38.9681,4572.2173
-21.7413,-0.159,-0.5637,0.0437,-4.5704,-0.0133,0.8097,2.6551,4.3143,38.9744,4604.7265
-21.7343,-0.1594,-0.5517,0.0462,-4.62,-0.008,1.0143,2.5273,4.0046,38.9637,4640.6464
-21.7288,-0.1599,-0.539,0.0494,-4.6738,-0.0027,1.1837,2.3899,3.6557,38.9364,4683.7956
-21.7247,-0.1607,-0.5257,0.0533,-4.7318,0.0026,1.3184,2.2504,3.2858,38.8934,4724.5577
-21.7222,-0.1617,-0.5117,0.058,-4.7942,0.0079,1.4206,2.1165,2.9181,38.8362,4760.7533
-21.7213,-0.163,-0.497,0.0636,-4.8612,0.0131,1.4935,1.9956,2.5829,38.7668,4796.43
-21.722,-0.1645,-0.4816,0.0699,-4.9328,0.0181,1.5409,1.8931,2.3172,38.6876,4831.6765
-21.7243,-0.1661,-0.4655,0.0767,-5.009,0.0229,1.5656,1.8123,2.1601,38.6011,4863.6793
-21.7282,-0.1679,-0.4487,0.0838,-5.0899,0.0275,1.5692,1.7532,2.1371,38.5101,4886.2291
-21.7338,-0.1696,-0.4312,0.0909,-5.1751,0.0317,1.5521,1.713,2.2431,38.4173,4901.6762
-21.7409,-0.1712,-0.4129,0.0977,-5.2642,0.0355,1.5136,1.6868,2.4452,38.3252,4912.5822
-21.7493,-0.1726,-0.3939,0.104,-5.3563,0.0388,1.4525,1.6688,2.7021,38.2359,4908.9623
-21.7588,-0.1739,-0.3741,0.1097,-5.4504,0.0416,1.3678,1.6538,2.9786,38.1515,4888.213
-21.7691,-0.175,-0.3534,0.1151,-5.5455,0.044,1.2601,1.6379,3.2495,38.0733,4855.8416
-21.78,-0.1761,-0.3318,0.1201,-5.6408,0.0459,1.1314,1.619,3.4979,38.0022,4817.751
-21.7916,-0.177,-0.3094,0.1251,-5.7355,0.0473,0.9864,1.5968,3.7129,37.9386,4777.1052
-21.8038,-0.1781,-0.2861,0.1301,-5.8294,0.0482,0.8318,1.5728,3.8876,37.8822,4729.8337
-21.8167,-0.1791,-0.262,0.1352,-5.922,0.0485,0.6762,1.5494,4.0181,37.8326,4668.2027
-21.8302,-0.1801,-0.2371,0.1406,-6.0121,0.0483,0.5293,1.5294,4.1026,37.7886,4592.4384
-21.8439,-0.1814,-0.2113,0.1469,-6.0985,0.0477,0.401,1.5155,4.1409,37.749,4506.4873
-21.8578,-0.1832,-0.1848,0.1547,-6.1807,0.0469,0.2999,1.5094,4.134,37.7122,4421.6807
