0.1414,-0.0025,0.0779,0.0005,-0.0059,0.0008,4448.181
0.1316,-0.0017,0.0842,0.0004,-0.0063,0.0008,4470.8922
0.1213,-0.0011,0.0905,0.0004,-0.0067,0.0009,4499.7471
0.1105,-0.0009,0.0971,0.0004,-0.0072,0.0009,4536.0156
0.0988,-0.0013,0.1039,0.0004,-0.0077,0.0009,4572.2173
0.0862,-0.0024,0.1109,0.0005,-0.0083,0.0009,4604.7265
0.0726,-0.0042,0.1181,0.0006,-0.009,0.0009,4640.6464
0.0583,-0.0064,0.1256,0.0007,-0.0097,0.0009,4683.7956
0.0437,-0.0088,0.1333,0.0008,-0.0105,0.0009,4724.5577
0.0291,-0.0113,0.1414,0.001,-0.0113,0.0009,4760.7533
0.0141,-0.0137,0.1498,0.0011,-0.0121,0.0009,4796.43
-0.0012,-0.0157,0.1582,0.0012,-0.0129,0.0009,4831.6765
-0.0169,-0.0169,0.1667,0.0013,-0.0137,0.0008,4863.6793
-0.0324,-0.0172,0.1752,0.0013,-0.0145,0.0008,4886.2291
-0.0473,-0.0165,0.1838,0.0013,-0.0152,0.0007,4901.6762
-0.0605,-0.015,0.1926,0.0012,-0.0158,0.0006,4912.5822
-0.0712,-0.0131,0.2017,0.0011,-0.0163,0.0006,4908.9623
-0.0795,-0.0114,0.211,0.001,-0.0165,0.0005,4888.213
-0.0856,-0.0102,0.2206,0.0009,-0.0166,0.0004,4855.8416
-0.0904,-0.0094,0.2303,0.0009,-0.0166,0.0003,4817.751
-0.0952,-0.0093,0.2397,0.0009,-0.0165,0.0002,4777.1052
-0.1011,-0.0094,0.2485,0.0009,-0.0163,0.0001,4729.8337
-0.1064,-0.0092,0.2573,0.0009,-0.016,0,4668.2027
-0.1085,-0.0106,0.2663,0.001,-0.0154,0,4592.4384
-0.1094,-0.0148,0.2748,0.0012,-0.0147,-0.0001,4506.4873
-0.1119,-0.0194,0.2824,0.0015,-0.014,-0.0001,4421.6807
-0.1167,-0.0222,0.2892,0.0016,-0.0132,-0.0002,4351.6887
-0.1224,-0.0248,0.296,0.0018,-0.0124,-0.0002,4301.166
-0.129,-0.0272,0.3024,0.0019,-0.0115,-0.0002,4264.2878
-0.1383,-0.028,0.3078,0.0019,-0.0107,-0.0002,4238.6334
-0.1516,-0.0278,0.3123,0.0019,-0.0099,-0.0002,4219.9544
-0.167,-0.0265,0.3161,0.0018,-0.0092,-0.0002,4204.3646
-0.1834,-0.0238,0.3191,0.0017,-0.0085,-0.0002,4200.4747
-0.2001,-0.0206,0.3216,0.0015,-0.0077,-0.0002,4221.4101
-0.2172,-0.0183,0.3234,0.0013,-0.0069,-0.0002,4261.9669
-0.2369,-0.0158,0.3239,0.0012,-0.0062,-0.0003,4319.2798
-0.259,-0.0128,0.3231,0.001,-0.0055,-0.0003,4384.4129
-0.2809,-0.0106,0.3211,0.0008,-0.0048,-0.0003,4446.2415
-0.3014,-0.01,0.3178,0.0008,-0.0041,-0.0003,4499.7064
-0.3219,-0.0106,0.3129,0.0008,-0.0034,-0.0003,4541.3343
