-11.2971,-0.043,-0.4137,-0.0066,-0.9754,-0.0196,0.0046,0,0.01,0.0006,-0.016,0.0003,3183.7484
-11.2931,-0.043,-0.4033,-0.006,-0.9913,-0.0193,0.004,0,0.0104,0.0006,-0.0159,0.0003,3180.4886
-11.2896,-0.043,-0.3923,-0.0055,-1.0071,-0.019,0.0035,0,0.011,0.0005,-0.0158,0.0003,3178.2089
-11.2865,-0.0431,-0.3808,-0.0049,-1.0229,-0.0187,0.0031,-0.0001,0.0115,0.0006,-0.0158,0.0003,3177.8935
-11.2838,-0.0431,-0.3688,-0.0043,-1.0387,-0.0184,0.0027,0,0.012,0.0006,-0.0158,0.0003,3179.111
-11.2815,-0.0431,-0.3562,-0.0037,-1.0543,-0.018,0.0023,0,0.0126,0.0006,-0.0156,0.0004,3178.703
-11.2796,-0.0432,-0.3432,-0.003,-1.0699,-0.0177,0.0019,-0.0001,0.013,0.0007,-0.0156,0.0003,3177.4385
-11.278,-0.0433,-0.3296,-0.0023,-1.0853,-0.0174,0.0016,-1.00E-04,0.0136,0.0007,-0.0154,0.0003,3175.9606
-11.2767,-0.0433,-0.3156,-0.0016,-1.1005,-0.017,0.0013,0,0.014,0.0007,-0.0152,0.0004,3175.7038
-11.2758,-0.0434,-0.301,-0.0009,-1.1155,-0.0167,0.0009,-0.0001,0.0146,0.0007,-0.015,0.0003,3177.2531
-11.2753,-0.0435,-0.286,-0.0001,-1.1302,-0.0163,0.0005,-1.00E-04,0.015,0.0008,-0.0147,0.0004,3179.4206
-11.2753,-0.0436,-0.2706,0.0007,-1.1445,-0.0159,0,-0.0001,0.0154,0.0008,-0.0143,0.0004,3181.9757
-11.2757,-0.0437,-0.2547,0.0014,-1.1584,-0.0155,-0.0004,-0.0001,0.0159,0.0007,-0.0139,0.0004,3182.9328
-11.2766,-0.0438,-0.2384,0.0022,-1.1719,-0.0151,-0.0009,-1.00E-04,0.0163,0.0008,-0.0135,0.0004,3182.4901
-11.2782,-0.0439,-0.2217,0.0029,-1.1848,-0.0147,-0.0016,-0.0001,0.0167,0.0007,-0.0129,0.0004,3182.3608
-11.2806,-0.0439,-0.2047,0.0036,-1.1972,-0.0142,-0.0024,0,0.017,0.0007,-0.0124,0.0005,3184.0982
-11.2837,-0.044,-0.1873,0.0042,-1.209,-0.0138,-0.0031,-1.00E-04,0.0174,0.0006,-0.0118,0.0004,3186.517
-11.2878,-0.044,-0.1698,0.0048,-1.2201,-0.0133,-0.0041,0,0.0175,0.0006,-0.0111,0.0005,3189.0235
-11.2929,-0.0441,-0.1519,0.0053,-1.2304,-0.0128,-0.0051,-0.0001,0.0179,0.0005,-0.0103,0.0005,3190.6366
-11.2991,-0.0441,-0.1339,0.0058,-1.2401,-0.0122,-0.0062,0,0.018,0.0005,-0.0097,0.0006,3191.9429
-11.3066,-0.0441,-0.1158,0.0063,-1.2489,-0.0117,-0.0075,0,0.0181,0.0005,-0.0088,0.0005,3192.8773
-11.3154,-0.0441,-0.0976,0.0067,-1.257,-0.0111,-0.0088,0,0.0182,0.0004,-0.0081,0.0006,3194.421
-11.3256,-0.0441,-0.0793,0.0071,-1.2643,-0.0104,-0.0102,0,0.0183,0.0004,-0.0073,0.0007,3197.4451
-11.3373,-0.0441,-0.0612,0.0075,-1.2708,-0.0098,-0.0117,0,0.0181,0.0004,-0.0065,0.0006,3200.4929
-11.3506,-0.0442,-0.0431,0.0078,-1.2765,-0.0091,-0.0133,-0.0001,0.0181,0.0003,-0.0057,0.0007,3202.6008
-11.3654,-0.0442,-0.0252,0.0082,-1.2814,-0.0083,-0.0148,0,0.0179,0.0004,-0.0049,0.0008,3203.7046
-11.3819,-0.0442,-0.0075,0.0086,-1.2855,-0.0075,-0.0165,0,0.0177,0.0004,-0.0041,0.0008,3204.277
-11.4,-0.0442,0.0098,0.0091,-1.2887,-0.0067,-0.0181,0,0.0173,0.0005,-0.0032,0.0008,3204.0491
-11.4198,-0.0443,0.0268,0.0095,-1.2912,-0.0057,-0.0198,-1.00E-04,0.017,0.0004,-0.0025,0.001,3202.9833
-11.4411,-0.0443,0.0433,0.01,-1.293,-0.0048,-0.0213,0,0.0165,0.0005,-0.0018,0.0009,3201.6612
-11.464,-0.0444,0.0592,0.0104,-1.294,-0.0037,-0.0229,-0.0001,0.0159,0.0004,-0.001,0.0011,3200.8344
-11.4885,-0.0445,0.0746,0.0109,-1.2943,-0.0026,-0.0245,-1.00E-04,0.0154,0.0005,-0.0003,0.0011,3199.5638
-11.5144,-0.0445,0.0891,0.0114,-1.2941,-0.0013,-0.0259,0,0.0145,0.0005,0.0002,0.0013,3195.9516
-11.5417,-0.0446,0.103,0.0119,-1.2933,0,-0.0273,-0.0001,0.0139,0.0005,0.0008,0.0013,3190.5322
-11.5703,-0.0447,0.1159,0.0123,-1.292,0.0013,-0.0286,-1.00E-04,0.0129,0.0004,0.0013,0.0013,3184.9041
-11.6002,-0.0447,0.1278,0.0126,-1.2904,0.0028,-0.0299,0,0.0119,0.0003,0.0016,0.0015,3180.2613
-11.6311,-0.0448,0.1388,0.0129,-1.2884,0.0043,-0.0309,-0.0001,0.011,0.0003,0.002,0.0015,3176.6598
-11.6631,-0.0448,0.1485,0.0132,-1.2864,0.006,-0.032,0,0.0097,0.0003,0.002,0.0017,3174.1779
-11.6961,-0.0448,0.1571,0.0134,-1.2842,0.0076,-0.033,0,0.0086,0.0002,0.0022,0.0016,3172.4226
-11.7299,-0.0448,0.1644,0.0136,-1.2821,0.0094,-0.0338,0,0.0073,0.0002,0.0021,0.0018,3170.4491
-11.7644,-0.0448,0.1704,0.0137,-1.2801,0.0112,-0.0345,0,0.006,0.0001,0.002,0.0018,3168.1006
-11.7995,-0.0448,0.1749,0.0139,-1.2784,0.013,-0.0351,0,0.0045,0.0002,0.0017,0.0018,3166.7901
-11.8352,-0.0449,0.1778,0.0141,-1.277,0.0149,-0.0357,-0.0001,0.0029,0.0002,0.0014,0.0019,3167.5752
-11.8712,-0.0449,0.1792,0.0144,-1.2761,0.0168,-0.036,0,0.0014,0.0003,0.0009,0.0019,3169.4241
-11.9077,-0.045,0.179,0.0148,-1.2756,0.0188,-0.0365,-1.00E-04,-0.0002,0.0004,0.0005,0.002,3171.0636
-11.9444,-0.0451,0.177,0.0152,-1.2758,0.0208,-0.0367,-0.0001,-0.002,0.0004,-0.0002,0.002,3172.0396
-11.9814,-0.0453,0.1733,0.0158,-1.2766,0.0228,-0.037,-0.0002,-0.0037,0.0006,-0.0008,0.002,3172.5092
-12.0186,-0.0455,0.1677,0.0164,-1.2782,0.0249,-0.0372,-0.0002,-0.0056,0.0006,-0.0016,0.0021,3172.3605
