Actual_Value,Predicted_Value
3608.2625,3627.3667
3415.9312,3395.767
3396.7995,3403.7034
3290.2926,3316.2422
3468.9517,3441.9512
3308.286,3317.3328
3537.2983,3529.9272
3436.2225,3420.3894
3319.6426,3306.9097
3343.8313,3325.334
3270.7929,3258.6382
3532.6751,3527.3718
3392.4407,3379.4036
3437.9471,3432.0642
3344.5924,3333.3127
3486.5027,3476.2556
3583.9548,3583.4663
3333.1265,3343.8752
3341.3032,3319.671
3220.5956,3207.7317
3622.8281,3603.068
3410.4103,3398.3438
3427.7884,3425.3347
3525.4562,3524.788
3226.6535,3225.6118
3498.8576,3473.3542
3370.9604,3364.4602
3502.2332,3506.3271
3427.2608,3416.0117
3416.6325,3413.3103
3603.7046,3591.2437
3538.7631,3543.5974
3338.7597,3328.0256
3336.7589,3350.147
3537.2397,3537.8948
3422.9159,3419.7122
3498.6877,3486.154
3286.6098,3291.2686
3650.5551,3633.466
3427.9075,3433.8408
3408.5741,3409.187
3417.2031,3418.1047
3564.3679,3562.5415
3369.2382,3373.028
3397.3109,3386.8152
3473.4879,3440.457
3627.0233,3611.6523
3554.7443,3554.2627
3367.142,3385.6763
3600.7343,3601.2034
3512.3537,3509.6157
3493.2203,3499.7207
3213.9343,3220.1218
3418.9305,3410.7751
3528.3299,3515.449
3553.8219,3553.5227
3579.5723,3580.5608
3332.5804,3330.3538
3416.578,3430.6587
3545.9594,3528.1838
3406.3731,3412.2024
3621.5821,3620.4385
3328.5273,3327.89
3386.0827,3368.5962
3410.1671,3432.6765
3480.3172,3491.302
3477.6511,3470.3472
3595.2414,3578.534
3238.7171,3230.339
3332.4702,3340.7214
3490.8903,3499.1897
3409.6138,3411.3594
3379.6968,3368.9966
3408.9594,3417.5684
3437.3461,3453.9492
3412.9639,3418.5059
3348.8155,3364.4565
3620.5057,3622.0251
3565.6889,3557.6301
3401.2031,3401.089
3292.7225,3293.6362
3462.7333,3469.9763
3455.6829,3446.7815
3179.5476,3179.2773
3509.0205,3486.0208
3435.9775,3429.563
3312.908,3305.1455
3373.4221,3368.2046
3371.8652,3370.1956
3447.4236,3451.305
3664.0905,3670.439
3379.2701,3366.811
3588.148,3592.6914
3264.4524,3268.9055
3365.479,3360.5425
3394.0592,3401.0764
3573.2329,3559.364
3294.7531,3298.216
3487.3534,3485.04
3539.0283,3546.2434
3360.5779,3361.5068
3465.5152,3458.6863
3486.2795,3475.7788
3479.8856,3473.9822
3728.2015,3721.456
3477.5684,3473.7356
3216.3132,3197.7734
3469.3757,3486.463
3567.5036,3583.6143
3478.5126,3469.373
3564.4138,3554.0342
3404.0351,3411.4678
3376.8808,3384.1426
3555.8144,3553.1052
3541.9128,3536.7014
3518.7458,3509.0999
3458.1327,3458.858
3386.6417,3378.3347
3246.2482,3252.4194
3442.8828,3434.704
3481.618,3468.6487
3475.5263,3479.1086
3450.1978,3441.449
3608.2369,3606.528
3400.2959,3417.7117
3307.498,3305.7122
3459.5901,3450.764
3760.0794,3750.3005
3190.1398,3194.556
3545.4496,3538.3562
3491.1413,3499.461
3529.1225,3509.9255
3219.8621,3247.1177
3185.3671,3173.5005
3493.0053,3482.8223
3443.3106,3443.4626
3147.5811,3166.957
3313.7973,3323.9055
3059.1682,3040.5854
3493.4192,3483.345
3420.0772,3430.8215
3465.8844,3459.1472
3414.909,3420.0498
3527.0338,3517.5486
3477.7025,3465.0981
3394.2805,3392.6553
3468.1329,3471.7434
3386.4402,3388.1287
3370.9231,3357.6992
3491.6116,3488.5662
3450.4899,3465.0789
3308.1236,3301.9402
3458.3282,3471.642
3273.2213,3281.0337
3340.5839,3321.5984
3454.309,3437.6328
3380.5779,3373.7112
3295.9698,3290.27
3519.4477,3506.897
3440.4534,3427.4321
3324.9747,3325.9285
3580.1755,3572.3103
3511.1935,3481.429
3389.4644,3399.443
3618.4863,3608.7964
3398.5657,3408.2937
3364.9749,3347.1477
3240.5719,3241.5784
3397.0492,3387.866
3415.7128,3413.3787
3584.1645,3573.7642
3312.8787,3309.6587
3643.3174,3644.3953
3546.2746,3530.053
3467.6268,3459.9797
3384.3209,3368.2075
3517.317,3510.514
3389.1507,3385.666
3528.814,3529.2358
3701.9492,3685.2092
3394.8126,3408.1992
3497.9185,3505.507
3576.2604,3561.358
3331.6015,3326.24
3557.5302,3555.7935
3432.7719,3439.1138
3514.8468,3510.075
3391.5398,3416.0903
3492.1963,3476.4822
3444.2429,3423.469
3514.0072,3515.0623
3553.5614,3544.9722
3527.3897,3516.7002
3364.3804,3356.0698
3383.1687,3372.5928
3450.6608,3448.7505
3657.3813,3635.1272
3610.7362,3613.3186
3322.498,3342.2312
3623.6958,3629.5083
3607.9421,3606.9893
3533.0453,3515.114
3409.3689,3417.1423
3234.0327,3235.476
3197.1797,3180.327
3575.3863,3601.7795
3256.5118,3250.0803
3618.5852,3623.8455
3500.2746,3493.45
3452.1136,3442.9114
3414.4178,3423.1016
3277.1748,3263.0947
3354.6098,3356.2446
3383.3864,3366.78
3571.1105,3573.0044
3528.1703,3532.6262
3600.3464,3607.1033
3354.7977,3353.4414
3582.9757,3575.5854
3710.8745,3691.3909
3439.3992,3434.559
3409.5404,3409.3435
3706.2567,3673.6108
3461.5081,3452.627
3453.7905,3449.487
3488.7014,3475.9731
3510.9466,3507.1794
3462.8445,3458.4456
3214.9288,3217.2139
