Actual_Value,Predicted_Value
3608.2625,3606.8638
3415.9312,3413.3113
3396.7995,3422.8652
3290.2926,3305.7046
3468.9517,3544.5793
3308.286,3313.7483
3537.2983,3514.849
3436.2225,3464.8767
3319.6426,3317.4045
3343.8313,3391.8135
3270.7929,3317.22
3532.6751,3525.01
3392.4407,3392.7996
3437.9471,3431.7075
3344.5924,3365.0469
3486.5027,3468.7651
3583.9548,3561.4087
3333.1265,3338.6975
3341.3032,3320.368
3220.5956,3168.9285
3622.8281,3619.3076
3410.4103,3414.564
3427.7884,3412.0952
3525.4562,3480.6904
3226.6535,3237.6736
3498.8576,3469.6074
3370.9604,3415.5037
3502.2332,3446.4893
3427.2608,3443.4568
3416.6325,3414.4111
3603.7046,3641.3015
3538.7631,3541.908
3338.7597,3390.5964
3336.7589,3364.5974
3537.2397,3524.9338
3422.9159,3422.8953
3498.6877,3497.5388
3286.6098,3285.6462
3650.5551,3638.869
3427.9075,3422.9954
3408.5741,3383.31
3417.2031,3430.981
3564.3679,3632.0051
3369.2382,3371.2854
3397.3109,3420.2769
3473.4879,3448.895
3627.0233,3602.1445
3554.7443,3558.2659
3367.142,3339.8403
3600.7343,3591.6682
3512.3537,3504.3936
3493.2203,3485.3179
3213.9343,3196.7937
3418.9305,3447.3875
3528.3299,3493.2876
3553.8219,3531.1074
3579.5723,3555.7742
3332.5804,3351.2031
3416.578,3416.6267
3545.9594,3530.7656
3406.3731,3423.9114
3621.5821,3589.1128
3328.5273,3348.0261
3386.0827,3404.3887
3410.1671,3459.0583
3480.3172,3487.199
3477.6511,3436.49
3595.2414,3521.7227
3238.7171,3248.9673
3332.4702,3352.007
3490.8903,3493.9167
3409.6138,3431.2986
3379.6968,3398.891
3408.9594,3402.9534
3437.3461,3439.2717
3412.9639,3434.634
3348.8155,3364.0234
3620.5057,3607.0217
3565.6889,3558.1372
3401.2031,3399.5808
3292.7225,3325.2786
3462.7333,3470.6072
3455.6829,3431.0808
3179.5476,3176.7185
3509.0205,3492.9182
3435.9775,3443.6448
3312.908,3301.3713
3373.4221,3381.0847
3371.8652,3367.2585
3447.4236,3426.4097
3664.0905,3693.9253
3379.2701,3367.3489
3588.148,3554.6218
3264.4524,3262.3105
3365.479,3406.5051
3394.0592,3389.2622
3573.2329,3542.4048
3294.7531,3311.1575
3487.3534,3464.1672
3539.0283,3550.9434
3360.5779,3375.8027
3465.5152,3445.3232
3486.2795,3495.953
3479.8856,3464.4182
3728.2015,3729.4119
3477.5684,3476.2485
3216.3132,3239.0454
3469.3757,3482.7378
3567.5036,3573.4277
3478.5126,3470.5764
3564.4138,3542.1543
3404.0351,3440.8862
3376.8808,3379.5242
3555.8144,3577.8164
3541.9128,3532.5093
3518.7458,3498.6738
3458.1327,3478.6672
3386.6417,3404.897
3246.2482,3247.6394
3442.8828,3452.4475
3481.618,3497.517
3475.5263,3466.5227
3450.1978,3463.9526
3608.2369,3559.4666
3400.2959,3431.582
3307.498,3303.9082
3459.5901,3442.2637
3760.0794,3721.0823
3190.1398,3239.974
3545.4496,3515.6343
3491.1413,3496.5454
3529.1225,3526.0
3219.8621,3291.207
3185.3671,3193.7227
3493.0053,3518.09
3443.3106,3484.143
3147.5811,3158.2402
3313.7973,3321.4932
3059.1682,3065.48
3493.4192,3510.125
3420.0772,3456.2979
3465.8844,3453.022
3414.909,3390.6797
3527.0338,3500.0212
3477.7025,3490.1257
3394.2805,3411.1284
3468.1329,3426.4731
3386.4402,3418.5037
3370.9231,3344.344
3491.6116,3456.2583
3450.4899,3447.074
3308.1236,3343.8235
3458.3282,3451.738
3273.2213,3275.967
3340.5839,3345.946
3454.309,3419.5698
3380.5779,3371.7861
3295.9698,3334.8315
3519.4477,3496.8562
3440.4534,3434.9426
3324.9747,3360.8442
3580.1755,3618.6045
3511.1935,3523.2817
3389.4644,3384.592
3618.4863,3592.7031
3398.5657,3413.2136
3364.9749,3370.289
3240.5719,3240.5156
3397.0492,3394.2131
3415.7128,3434.739
3584.1645,3574.1526
3312.8787,3320.008
3643.3174,3607.7478
3546.2746,3536.5176
3467.6268,3476.2158
3384.3209,3418.3635
3517.317,3501.2092
3389.1507,3387.1633
3528.814,3519.834
3701.9492,3696.6904
3394.8126,3399.304
3497.9185,3502.7363
3576.2604,3562.9604
3331.6015,3335.8474
3557.5302,3539.6726
3432.7719,3415.5007
3514.8468,3529.3318
3391.5398,3391.0134
3492.1963,3512.1748
3444.2429,3400.441
3514.0072,3531.1511
3553.5614,3519.5635
3527.3897,3536.1567
3364.3804,3351.26
3383.1687,3355.5728
3450.6608,3453.2
3657.3813,3656.1323
3610.7362,3552.8862
3322.498,3289.0105
3623.6958,3605.547
3607.9421,3630.9453
3533.0453,3545.0076
3409.3689,3419.3274
3234.0327,3293.0667
3197.1797,3215.9834
3575.3863,3578.502
3256.5118,3264.5278
3618.5852,3592.3657
3500.2746,3486.295
3452.1136,3418.8667
3414.4178,3425.1477
3277.1748,3316.3843
3354.6098,3404.0881
3383.3864,3342.3755
3571.1105,3610.3267
3528.1703,3512.2788
3600.3464,3607.539
3354.7977,3350.3508
3582.9757,3584.938
3710.8745,3748.2983
3439.3992,3439.796
3409.5404,3387.7249
3706.2567,3647.3901
3461.5081,3457.6619
3453.7905,3415.0508
3488.7014,3510.6267
3510.9466,3483.935
3462.8445,3459.0996
3214.9288,3220.684
3415.3014,3483.7383
3608.956,3614.0427
3253.9204,3298.4246
3504.4704,3491.789
3409.5255,3386.4202
3443.5763,3452.7913
3497.4829,3483.152
3552.0104,3597.2747
3146.0842,3188.2488
3114.3044,3174.2698
3518.655,3488.0076
3639.9454,3658.9421
3432.8652,3421.9937
3534.714,3526.26
3301.0878,3325.1333
3484.4789,3497.406
3522.0869,3464.9868
3526.7009,3511.0593
3507.4054,3492.546
3166.7901,3240.938
3210.9535,3191.072
3479.7164,3510.152
3531.298,3562.5789
3473.607,3464.7817
3342.8085,3372.4995
3606.4582,3595.9463
3552.9396,3545.852
3678.0888,3657.8005
3420.9121,3438.0488
3486.0984,3488.2708
3287.559,3305.3188
3336.9052,3318.9358
3386.1188,3390.3306
3443.6295,3414.4746
3511.1664,3498.7993
3444.2482,3433.598
3498.9663,3445.7593
3473.6652,3459.5613
3478.2971,3469.162
3467.1448,3465.7837
3300.5213,3289.6428
3314.9462,3301.1848
3410.5494,3413.9722
3475.5757,3448.9468
3306.4116,3275.904
3233.8162,3277.6692
3104.9398,3152.9187
3228.5752,3263.2192
3351.9711,3371.693
3564.3061,3581.359
3485.0737,3547.6245
3401.52,3402.17
3316.62,3335.1416
3538.3329,3529.1067
3712.1508,3677.7114
3586.7426,3596.002
3506.3199,3489.7283
3442.4431,3415.8354
3560.2079,3584.5698
3289.3176,3296.3313
3468.4294,3472.779
3477.7842,3386.6018
3551.0668,3532.465
3164.4458,3175.6445
3541.2657,3542.0315
3477.9166,3534.8582
3474.9819,3454.1345
3482.2281,3487.1606
3455.1583,3458.6577
3291.2263,3310.9302
3653.0276,3639.4595
3529.1463,3497.4885
3567.1993,3574.0964
3306.2977,3302.3994
3445.0033,3418.7795
3507.9715,3469.47
3541.0453,3527.9863
3361.2625,3357.927
3460.9456,3435.2659
3516.4665,3503.1526
3540.4159,3537.3225
3292.872,3266.0464
3489.7675,3480.1238
3322.6962,3306.9116
3402.323,3383.0312
3436.7454,3430.4841
3529.3884,3503.4832
3282.2407,3308.7458
3265.4199,3256.6077
3496.7313,3512.9617
3555.0463,3547.363
3198.0496,3194.579
3485.5552,3516.179
3553.4146,3508.8484
3331.3754,3364.857
3589.9073,3590.505
3280.5304,3311.891
3534.5302,3537.0034
3174.3743,3231.3352
3650.2125,3668.3376
3440.7774,3426.5474
3409.3922,3386.195
3280.4483,3311.0706
3513.6007,3503.7927
3449.0157,3435.7056
3296.5028,3317.4404
3545.894,3527.2854
3519.3632,3530.332
3636.8144,3591.2627
3353.7905,3359.822
3628.994,3615.1428
3441.7869,3435.0637
3442.8788,3447.5586
3433.2208,3441.8743
3224.9785,3288.4949
3202.9825,3191.6343
3464.6263,3479.8225
3591.2045,3580.1797
3386.4049,3389.5684
3643.6928,3605.9495
3400.8601,3392.4448
3494.5449,3507.9229
3559.5651,3551.3958
3390.0247,3405.6274
3292.322,3289.869
3424.8877,3447.252
3225.2911,3211.0596
3390.611,3422.6052
3536.6836,3529.0288
3452.0143,3452.1887
3508.3945,3471.406
3436.778,3454.2903
3426.0932,3413.134
3608.5448,3605.6992
3603.0135,3598.4075
3401.1001,3380.0146
3422.409,3455.126
3371.9255,3346.2993
3269.4061,3299.6167
3538.05,3520.459
3384.1403,3408.5312
3486.014,3439.7046
3518.7471,3505.4739
3344.1339,3363.699
3460.2297,3431.697
3521.9059,3483.3298
3568.456,3559.22
3363.7757,3363.9182
3377.1326,3392.895
3334.6969,3353.7473
3438.2534,3425.4646
3164.3113,3212.6453
3549.4582,3536.2576
3479.2247,3489.9573
3350.3847,3390.8318
3716.9807,3707.8044
3298.8297,3310.8118
3283.4249,3315.7915
3345.3275,3338.3718
3446.6863,3436.1426
3624.9849,3648.5505
3364.1581,3364.1907
3451.4343,3421.5613
3470.0023,3422.6711
3397.4378,3399.6035
3381.4745,3367.612
3610.5107,3615.764
3547.6822,3499.791
3414.4092,3426.2864
3367.9376,3374.0298
3349.9992,3310.4294
3460.3917,3465.266
3379.0522,3376.5867
3138.1934,3169.9683
3167.1935,3185.419
3624.2068,3581.2205
3397.4932,3365.9219
3365.8985,3382.2083
3519.9572,3529.1802
3406.3131,3365.6277
3282.9366,3329.001
3590.6545,3579.2893
3387.647,3411.522
3336.0017,3310.6448
3555.8778,3542.1907
3484.6787,3480.3408
3397.9921,3403.019
3686.6937,3675.7502
3542.3714,3573.0586
3350.1599,3355.9016
3373.4906,3417.2803
3322.3961,3327.7937
3411.2829,3426.2048
3371.6698,3349.8738
3523.0982,3451.098
3521.3562,3529.8752
3439.608,3435.461
3457.4844,3431.6074
3450.9283,3458.4639
3567.9953,3555.835
3220.544,3189.6174
3291.5119,3303.82
3165.2056,3157.6367
3428.6627,3380.6108
3212.1881,3289.673
3600.1855,3551.5576
3583.6104,3561.4053
3443.738,3465.8552
3481.2425,3494.5427
3631.0803,3624.4446
3381.9263,3412.941
3504.4779,3512.09
3215.8894,3244.9807
3414.5045,3415.652
3520.1732,3498.4158
3475.1512,3499.4834
3486.4587,3472.225
3479.7668,3459.824
3465.6252,3486.008
3406.849,3443.2507
3305.9966,3294.7615
3429.4776,3449.3882
3282.3952,3310.7327
3574.2593,3535.8118
3298.9794,3317.7698
3432.2734,3439.7285
3545.8139,3496.1409
3413.7881,3405.0713
3504.3293,3497.7961
