Actual_Value,Predicted_Value
3608.2625,3606.7107
3415.9312,3417.5454
3396.7995,3402.1
3290.2926,3297.565
3468.9517,3467.1802
3308.286,3297.017
3537.2983,3516.817
3436.2225,3424.0508
3319.6426,3312.9187
3343.8313,3334.7524
3270.7929,3256.9724
3532.6751,3516.1038
3392.4407,3405.1719
3437.9471,3434.597
3344.5924,3353.734
3486.5027,3480.4543
3583.9548,3579.1257
3333.1265,3320.8823
3341.3032,3340.1575
3220.5956,3207.7283
3622.8281,3605.7712
3410.4103,3412.6316
3427.7884,3412.9128
3525.4562,3527.2542
3226.6535,3238.9644
3498.8576,3501.1953
3370.9604,3381.2595
3502.2332,3492.6147
3427.2608,3429.0674
3416.6325,3402.4917
3603.7046,3586.216
3538.7631,3542.986
3338.7597,3336.1604
3336.7589,3352.4612
3537.2397,3528.9873
3422.9159,3430.1326
3498.6877,3491.0142
3286.6098,3292.2144
3650.5551,3629.7405
3427.9075,3437.9558
3408.5741,3406.1162
3417.2031,3429.1719
3564.3679,3564.8184
3369.2382,3369.3464
3397.3109,3388.6116
3473.4879,3456.3206
3627.0233,3632.6545
3554.7443,3539.3843
3367.142,3373.6401
3600.7343,3591.5518
3512.3537,3502.928
3493.2203,3503.8967
3213.9343,3225.3135
3418.9305,3422.7363
3528.3299,3508.9924
3553.8219,3542.7961
3579.5723,3556.5554
3332.5804,3334.0278
3416.578,3424.6511
3545.9594,3529.8293
3406.3731,3388.0007
3621.5821,3614.3123
3328.5273,3325.7722
3386.0827,3386.7424
3410.1671,3428.575
3480.3172,3495.1292
3477.6511,3475.1665
3595.2414,3573.196
3238.7171,3240.611
3332.4702,3327.7166
3490.8903,3490.6855
3409.6138,3406.0024
3379.6968,3376.963
3408.9594,3421.3572
3437.3461,3453.269
3412.9639,3415.597
3348.8155,3345.679
3620.5057,3611.582
3565.6889,3547.2827
3401.2031,3391.7766
3292.7225,3293.5662
3462.7333,3458.5312
3455.6829,3449.8435
3179.5476,3175.9128
3509.0205,3502.1074
3435.9775,3434.4966
3312.908,3309.6404
3373.4221,3370.4626
3371.8652,3356.4792
3447.4236,3446.3757
3664.0905,3664.0552
3379.2701,3384.4875
3588.148,3592.4
3264.4524,3283.8804
3365.479,3353.9492
3394.0592,3390.8071
3573.2329,3564.763
3294.7531,3306.5132
3487.3534,3470.6792
3539.0283,3540.3218
3360.5779,3362.0618
3465.5152,3465.3086
3486.2795,3491.258
3479.8856,3489.7961
3728.2015,3728.0835
