Actual_Value,Predicted_Value
3608.2625,3611.6643
3415.9312,3418.065
3396.7995,3389.7952
3290.2926,3298.212
3468.9517,3474.93
3308.286,3312.207
3537.2983,3539.2366
3436.2225,3424.3167
3319.6426,3309.4397
3343.8313,3347.2964
3270.7929,3274.7163
3532.6751,3519.9155
3392.4407,3406.509
3437.9471,3432.3625
3344.5924,3350.7476
3486.5027,3483.8826
3583.9548,3594.5889
3333.1265,3317.2559
3341.3032,3334.896
3220.5956,3234.132
3622.8281,3612.9485
3410.4103,3415.5938
3427.7884,3430.52
3525.4562,3531.193
3226.6535,3229.4092
3498.8576,3483.1104
3370.9604,3366.564
3502.2332,3498.9805
3427.2608,3422.3054
3416.6325,3404.3389
3603.7046,3588.9556
3538.7631,3530.733
3338.7597,3343.7585
3336.7589,3354.7766
3537.2397,3537.4111
3422.9159,3415.6736
3498.6877,3496.0198
3286.6098,3292.36
3650.5551,3619.2305
3427.9075,3426.2747
3408.5741,3409.7798
3417.2031,3420.0889
3564.3679,3574.4006
3369.2382,3362.2832
3397.3109,3391.0505
3473.4879,3453.334
3627.0233,3628.7046
3554.7443,3529.6628
3367.142,3389.014
3600.7343,3577.9065
3512.3537,3499.4854
3493.2203,3495.617
3213.9343,3221.32
3418.9305,3422.5051
3528.3299,3517.7327
3553.8219,3536.8125
3579.5723,3565.043
3332.5804,3332.303
3416.578,3414.7097
3545.9594,3533.0322
3406.3731,3402.0623
3621.5821,3627.0078
3328.5273,3323.918
3386.0827,3385.2122
3410.1671,3407.4553
3480.3172,3474.3606
3477.6511,3476.0552
3595.2414,3575.016
3238.7171,3229.1812
3332.4702,3327.616
3490.8903,3492.0898
3409.6138,3419.0713
3379.6968,3385.7837
3408.9594,3420.5251
3437.3461,3433.8757
3412.9639,3408.401
3348.8155,3350.231
3620.5057,3616.5996
3565.6889,3559.7432
3401.2031,3404.1565
3292.7225,3295.629
3462.7333,3452.1487
3455.6829,3450.371
3179.5476,3184.2356
3509.0205,3498.7893
3435.9775,3431.4438
3312.908,3318.2014
3373.4221,3376.0586
3371.8652,3361.4026
3447.4236,3453.5823
3664.0905,3674.8606
3379.2701,3376.3389
3588.148,3594.0552
3264.4524,3257.1372
3365.479,3369.4683
3394.0592,3387.3115
3573.2329,3587.66
3294.7531,3289.5369
3487.3534,3467.3823
3539.0283,3522.715
3360.5779,3358.5566
3465.5152,3469.3367
3486.2795,3493.6846
3479.8856,3487.6965
3728.2015,3717.1045
3477.5684,3463.964
3216.3132,3213.6724
3469.3757,3482.42
3567.5036,3551.0942
3478.5126,3488.7273
3564.4138,3576.9434
3404.0351,3400.874
3376.8808,3379.6108
3555.8144,3543.2021
3541.9128,3543.9897
3518.7458,3505.615
3458.1327,3461.949
3386.6417,3383.0522
3246.2482,3254.943
3442.8828,3410.3193
3481.618,3486.4385
3475.5263,3461.432
3450.1978,3467.649
3608.2369,3615.0916
3400.2959,3402.5085
3307.498,3319.5872
3459.5901,3459.7808
3760.0794,3755.1238
3190.1398,3155.9722
3545.4496,3554.5425
3491.1413,3479.7986
3529.1225,3506.7852
3219.8621,3231.9111
3185.3671,3183.127
3493.0053,3501.3284
3443.3106,3459.0688
3147.5811,3161.9553
3313.7973,3309.574
3059.1682,3061.3384
3493.4192,3500.7756
3420.0772,3415.8174
3465.8844,3458.2986
3414.909,3393.7312
3527.0338,3520.5923
3477.7025,3455.3062
3394.2805,3401.329
3468.1329,3471.9075
3386.4402,3380.4558
3370.9231,3377.119
3491.6116,3461.9563
3450.4899,3455.3896
3308.1236,3294.713
3458.3282,3444.75
3273.2213,3270.3877
3340.5839,3329.0598
3454.309,3465.3894
3380.5779,3401.091
3295.9698,3300.4465
3519.4477,3510.1465
3440.4534,3428.1616
3324.9747,3307.7747
3580.1755,3579.081
3511.1935,3490.0896
3389.4644,3377.254
3618.4863,3616.8743
3398.5657,3392.0583
3364.9749,3351.0664
3240.5719,3228.6143
3397.0492,3413.721
3415.7128,3440.2788
3584.1645,3584.3796
3312.8787,3306.8298
3643.3174,3639.9543
3546.2746,3558.6194
3467.6268,3461.1445
3384.3209,3378.908
3517.317,3531.613
3389.1507,3389.4724
3528.814,3504.429
3701.9492,3693.4717
3394.8126,3391.9192
3497.9185,3494.9497
3576.2604,3561.4563
3331.6015,3362.8933
3557.5302,3541.034
3432.7719,3431.346
3514.8468,3504.7156
3391.5398,3386.5537
3492.1963,3463.789
3444.2429,3431.2559
3514.0072,3523.6626
3553.5614,3545.1873
3527.3897,3512.913
3364.3804,3352.3738
3383.1687,3367.067
3450.6608,3448.5486
3657.3813,3640.3193
3610.7362,3621.5918
3322.498,3293.943
3623.6958,3619.5886
3607.9421,3605.967
3533.0453,3533.282
3409.3689,3395.2507
3234.0327,3251.6443
3197.1797,3183.4414
3575.3863,3579.5967
3256.5118,3256.064
3618.5852,3623.2388
3500.2746,3506.0312
3452.1136,3452.0527
3414.4178,3430.006
3277.1748,3272.4897
3354.6098,3350.87
3383.3864,3370.8174
3571.1105,3553.779
3528.1703,3515.989
3600.3464,3602.7844
3354.7977,3360.4705
3582.9757,3583.3584
3710.8745,3708.8787
3439.3992,3439.7134
3409.5404,3398.6418
3706.2567,3680.6938
3461.5081,3460.2485
3453.7905,3444.6416
3488.7014,3484.5376
3510.9466,3510.6414
3462.8445,3465.1228
3214.9288,3203.718
3415.3014,3395.9138
3608.956,3604.5305
3253.9204,3250.6008
3504.4704,3505.8362
3409.5255,3405.8228
3443.5763,3451.5083
3497.4829,3495.3562
3552.0104,3567.2163
3146.0842,3151.4683
3114.3044,3108.8735
3518.655,3521.7725
3639.9454,3626.513
3432.8652,3443.8438
3534.714,3534.7893
3301.0878,3301.2593
3484.4789,3487.1753
3522.0869,3532.5825
3526.7009,3523.4045
3507.4054,3517.056
3166.7901,3158.9277
3210.9535,3221.165
3479.7164,3461.73
3531.298,3517.7212
3473.607,3477.4353
3342.8085,3336.711
3606.4582,3598.2751
3552.9396,3534.2588
3678.0888,3664.346
3420.9121,3412.5688
3486.0984,3451.225
3287.559,3294.3718
3336.9052,3331.0605
3386.1188,3397.7527
3443.6295,3448.347
3511.1664,3520.4197
3444.2482,3449.7512
3498.9663,3497.4797
3473.6652,3478.4304
3478.2971,3472.5886
3467.1448,3476.1
3300.5213,3292.2175
3314.9462,3295.4902
3410.5494,3411.8655
3475.5757,3473.4348
3306.4116,3301.5342
3233.8162,3225.4668
3104.9398,3100.8958
3228.5752,3242.1074
3351.9711,3370.766
3564.3061,3559.8079
3485.0737,3456.1543
3401.52,3429.5303
3316.62,3301.729
3538.3329,3520.9841
3712.1508,3693.0405
3586.7426,3584.3086
3506.3199,3497.571
3442.4431,3437.3638
3560.2079,3569.7102
