Actual_Value,Predicted_Value
3608.2625,3591.8232
3415.9312,3410.3726
3396.7995,3421.1555
3290.2926,3310.2039
3468.9517,3512.6577
3308.286,3330.8982
3537.2983,3516.6338
3436.2225,3437.6338
3319.6426,3328.0676
3343.8313,3341.0945
3270.7929,3267.3528
3532.6751,3521.2896
3392.4407,3395.9636
3437.9471,3437.7437
3344.5924,3367.4812
3486.5027,3497.912
3583.9548,3578.3464
3333.1265,3319.6724
3341.3032,3330.8608
3220.5956,3238.3494
3622.8281,3640.041
3410.4103,3419.8909
3427.7884,3441.0776
3525.4562,3515.7476
3226.6535,3229.5957
3498.8576,3476.5193
3370.9604,3371.687
3502.2332,3530.3464
3427.2608,3435.432
3416.6325,3410.4348
3603.7046,3598.2449
3538.7631,3550.5007
3338.7597,3352.3335
3336.7589,3398.1497
3537.2397,3532.9697
3422.9159,3442.3281
3498.6877,3521.505
3286.6098,3291.9446
3650.5551,3660.8972
3427.9075,3453.103
3408.5741,3417.5647
3417.2031,3421.3381
3564.3679,3601.4248
3369.2382,3376.5576
3397.3109,3380.9045
3473.4879,3465.455
3627.0233,3637.1404
3554.7443,3566.3887
3367.142,3368.5237
3600.7343,3598.4622
3512.3537,3497.8818
3493.2203,3506.7349
3213.9343,3225.5063
3418.9305,3429.2722
3528.3299,3542.9214
3553.8219,3544.1167
3579.5723,3571.2188
3332.5804,3336.6377
3416.578,3433.3362
3545.9594,3544.3655
3406.3731,3422.9072
3621.5821,3652.917
3328.5273,3324.007
3386.0827,3398.8765
3410.1671,3423.198
3480.3172,3508.6902
3477.6511,3495.6016
3595.2414,3636.967
3238.7171,3254.696
3332.4702,3347.3196
3490.8903,3505.948
3409.6138,3436.5037
3379.6968,3365.43
3408.9594,3431.8955
3437.3461,3457.988
3412.9639,3442.1118
3348.8155,3370.976
3620.5057,3648.1396
3565.6889,3570.1262
3401.2031,3399.1277
3292.7225,3311.0999
3462.7333,3476.4585
3455.6829,3484.3567
3179.5476,3202.7615
3509.0205,3509.3235
3435.9775,3419.8408
3312.908,3302.7524
3373.4221,3393.4468
3371.8652,3368.2153
3447.4236,3443.7964
3664.0905,3675.3489
3379.2701,3405.5942
3588.148,3619.5276
3264.4524,3252.3467
3365.479,3395.445
3394.0592,3422.184
3573.2329,3587.6912
3294.7531,3304.551
3487.3534,3475.9307
3539.0283,3539.7542
3360.5779,3384.4187
3465.5152,3476.853
3486.2795,3497.224
3479.8856,3485.414
3728.2015,3739.7517
3477.5684,3482.8027
3216.3132,3203.5027
3469.3757,3513.8489
3567.5036,3591.8345
3478.5126,3492.4993
3564.4138,3575.6873
3404.0351,3456.9402
3376.8808,3371.3198
3555.8144,3563.8071
3541.9128,3535.7505
3518.7458,3504.3438
3458.1327,3468.7295
3386.6417,3398.5327
3246.2482,3255.5962
3442.8828,3426.365
3481.618,3469.2085
3475.5263,3463.3577
3450.1978,3444.966
3608.2369,3621.9045
3400.2959,3427.7039
3307.498,3320.6538
3459.5901,3443.6455
3760.0794,3784.8179
3190.1398,3189.387
3545.4496,3557.5027
3491.1413,3488.3142
3529.1225,3544.842
3219.8621,3243.8247
3185.3671,3161.9846
3493.0053,3501.0935
3443.3106,3457.3203
3147.5811,3173.351
3313.7973,3326.231
3059.1682,3092.7576
3493.4192,3523.456
3420.0772,3436.6023
3465.8844,3493.7468
3414.909,3425.0063
3527.0338,3526.2742
3477.7025,3476.513
3394.2805,3415.007
3468.1329,3521.9028
3386.4402,3390.9556
3370.9231,3387.1113
3491.6116,3468.4702
3450.4899,3492.7334
3308.1236,3303.8928
3458.3282,3472.4167
3273.2213,3312.6194
3340.5839,3372.5554
3454.309,3448.7812
3380.5779,3422.3032
3295.9698,3312.5393
3519.4477,3522.5103
3440.4534,3408.525
3324.9747,3295.7556
3580.1755,3601.5623
3511.1935,3504.0618
3389.4644,3405.3303
3618.4863,3618.5444
3398.5657,3409.9182
3364.9749,3377.4404
3240.5719,3249.1355
3397.0492,3427.5444
3415.7128,3459.4297
3584.1645,3583.9128
3312.8787,3326.725
3643.3174,3661.6704
3546.2746,3554.0886
3467.6268,3471.5225
3384.3209,3409.1392
3517.317,3540.0884
3389.1507,3391.1365
3528.814,3567.6157
3701.9492,3708.0486
3394.8126,3412.5283
3497.9185,3514.6648
3576.2604,3591.9448
3331.6015,3371.139
3557.5302,3555.0652
3432.7719,3445.9885
3514.8468,3539.912
3391.5398,3426.6711
3492.1963,3547.198
3444.2429,3451.6458
3514.0072,3545.0662
3553.5614,3577.176
3527.3897,3546.938
