Actual_Value,Predicted_Value
3608.2625,3612.266
3415.9312,3430.0962
3396.7995,3417.7612
3290.2926,3306.8977
3468.9517,3439.184
3308.286,3296.7725
3537.2983,3574.0925
3436.2225,3438.2112
3319.6426,3376.5288
3343.8313,3345.309
3270.7929,3268.7793
3532.6751,3543.2031
3392.4407,3399.41
3437.9471,3480.877
3344.5924,3370.9348
3486.5027,3484.4075
3583.9548,3597.9414
3333.1265,3350.1746
3341.3032,3365.4233
3220.5956,3181.1155
3622.8281,3620.6067
3410.4103,3423.4968
3427.7884,3410.824
3525.4562,3558.3313
3226.6535,3289.7432
3498.8576,3501.2031
3370.9604,3400.915
3502.2332,3489.7292
3427.2608,3423.079
3416.6325,3425.0835
3603.7046,3592.2986
3538.7631,3522.5312
3338.7597,3362.6128
3336.7589,3392.2788
3537.2397,3539.5803
3422.9159,3429.9072
3498.6877,3494.9946
3286.6098,3298.9238
3650.5551,3639.2273
3427.9075,3414.669
3408.5741,3426.9243
3417.2031,3442.877
3564.3679,3536.0298
3369.2382,3364.3718
3397.3109,3437.209
3473.4879,3438.5972
3627.0233,3638.4001
3554.7443,3528.5493
3367.142,3374.1858
3600.7343,3602.0198
3512.3537,3540.3616
3493.2203,3525.0732
3213.9343,3264.5037
3418.9305,3409.01
3528.3299,3518.7576
3553.8219,3561.335
3579.5723,3589.0266
3332.5804,3364.687
3416.578,3418.2952
3545.9594,3547.8528
3406.3731,3435.5432
3621.5821,3580.7532
3328.5273,3320.2827
3386.0827,3384.952
3410.1671,3434.336
3480.3172,3522.0842
3477.6511,3485.2483
3595.2414,3652.321
3238.7171,3214.6667
3332.4702,3337.227
3490.8903,3553.1213
3409.6138,3408.6792
3379.6968,3387.273
3408.9594,3419.5513
3437.3461,3432.6294
3412.9639,3446.1555
3348.8155,3392.8562
3620.5057,3635.0767
3565.6889,3592.1213
3401.2031,3408.3992
3292.7225,3292.7798
3462.7333,3459.6348
3455.6829,3484.8835
3179.5476,3185.012
3509.0205,3485.1882
3435.9775,3436.263
3312.908,3327.0374
3373.4221,3376.345
3371.8652,3376.7231
3447.4236,3479.5935
3664.0905,3672.2134
3379.2701,3380.53
3588.148,3579.5261
3264.4524,3299.774
3365.479,3345.8196
3394.0592,3378.7349
3573.2329,3607.4868
3294.7531,3312.1326
3487.3534,3474.8765
3539.0283,3520.4304
3360.5779,3378.1562
3465.5152,3419.2544
3486.2795,3483.7363
3479.8856,3474.8926
3728.2015,3760.3445
3477.5684,3498.5999
3216.3132,3246.0986
3469.3757,3481.6807
3567.5036,3579.6702
3478.5126,3457.7734
3564.4138,3559.1943
3404.0351,3415.3347
3376.8808,3382.1738
3555.8144,3586.3777
3541.9128,3572.5476
3518.7458,3552.2908
3458.1327,3438.6191
3386.6417,3393.7673
3246.2482,3248.1555
3442.8828,3431.5198
3481.618,3493.43
3475.5263,3480.4263
3450.1978,3491.723
3608.2369,3621.8682
3400.2959,3434.473
3307.498,3320.3538
3459.5901,3434.0618
3760.0794,3753.2698
3190.1398,3155.2686
3545.4496,3540.8455
3491.1413,3485.7358
3529.1225,3578.9636
3219.8621,3219.6436
3185.3671,3165.164
3493.0053,3474.1238
3443.3106,3467.1084
3147.5811,3192.8267
3313.7973,3342.8992
3059.1682,3089.867
3493.4192,3508.3943
3420.0772,3453.8083
3465.8844,3453.34
3414.909,3395.3801
3527.0338,3554.0637
3477.7025,3504.0217
3394.2805,3392.181
3468.1329,3508.0046
3386.4402,3386.6812
3370.9231,3384.5305
3491.6116,3467.9172
3450.4899,3475.5598
3308.1236,3328.6123
3458.3282,3454.304
3273.2213,3313.543
3340.5839,3363.0127
3454.309,3438.785
3380.5779,3419.6514
3295.9698,3333.0637
3519.4477,3536.0818
3440.4534,3429.7124
3324.9747,3275.1157
3580.1755,3568.993
3511.1935,3523.807
3389.4644,3441.5952
3618.4863,3637.7378
3398.5657,3417.982
3364.9749,3329.303
3240.5719,3273.4602
3397.0492,3431.717
3415.7128,3413.9197
3584.1645,3599.5112
3312.8787,3307.9146
3643.3174,3673.8557
3546.2746,3577.4724
3467.6268,3471.6472
3384.3209,3374.8848
3517.317,3539.05
3389.1507,3409.424
3528.814,3540.9155
3701.9492,3691.4067
3394.8126,3394.8762
3497.9185,3499.4585
3576.2604,3564.36
3331.6015,3361.3093
3557.5302,3601.277
3432.7719,3429.898
3514.8468,3512.8552
3391.5398,3375.7266
3492.1963,3488.569
3444.2429,3447.2947
3514.0072,3507.424
3553.5614,3526.875
3527.3897,3567.8901
3364.3804,3382.927
3383.1687,3408.412
3450.6608,3446.9226
3657.3813,3646.263
3610.7362,3602.8953
3322.498,3351.4578
3623.6958,3647.78
3607.9421,3655.606
3533.0453,3531.5176
3409.3689,3417.7607
3234.0327,3269.4585
3197.1797,3224.124
3575.3863,3598.204
3256.5118,3282.75
3618.5852,3612.9377
3500.2746,3502.6694
3452.1136,3452.2104
3414.4178,3437.4568
3277.1748,3245.4004
3354.6098,3385.958
3383.3864,3394.809
3571.1105,3591.6167
3528.1703,3552.3757
3600.3464,3627.2854
3354.7977,3343.1897
3582.9757,3604.7893
3710.8745,3666.732
3439.3992,3457.4329
3409.5404,3410.738
3706.2567,3712.0093
3461.5081,3445.9668
3453.7905,3503.5586
3488.7014,3536.4453
3510.9466,3510.3064
3462.8445,3449.2358
3214.9288,3233.3733
3415.3014,3394.1694
3608.956,3609.2449
3253.9204,3256.0774
3504.4704,3505.618
3409.5255,3371.7603
3443.5763,3430.2727
3497.4829,3476.7422
3552.0104,3505.1123
3146.0842,3136.7979
3114.3044,3137.1333
3518.655,3536.8171
3639.9454,3647.678
3432.8652,3436.4211
3534.714,3555.9497
3301.0878,3288.4666
3484.4789,3496.1687
3522.0869,3540.2534
3526.7009,3531.5032
3507.4054,3498.878
3166.7901,3170.893
3210.9535,3268.369
3479.7164,3518.5483
3531.298,3548.677
3473.607,3478.493
3342.8085,3331.8235
3606.4582,3607.6448
3552.9396,3556.4949
3678.0888,3677.4043
3420.9121,3406.6287
3486.0984,3448.42
3287.559,3286.9707
3336.9052,3356.995
3386.1188,3446.199
3443.6295,3443.7573
3511.1664,3521.6248
3444.2482,3436.3857
3498.9663,3473.0798
3473.6652,3483.139
3478.2971,3484.397
3467.1448,3439.7974
3300.5213,3349.3926
