Actual_Value,Predicted_Value
3608.2625,3473.7114
3415.9312,3487.6265
3396.7995,3324.5308
3290.2926,3233.263
3468.9517,3454.9207
3308.286,3444.5564
3537.2983,3492.3347
3436.2225,3510.8438
3319.6426,3394.0364
3343.8313,3349.2183
3270.7929,3270.3713
3532.6751,3414.9697
3392.4407,3401.451
3437.9471,3420.913
3344.5924,3399.8933
3486.5027,3497.9744
3583.9548,3478.0967
3333.1265,3361.7615
3341.3032,3365.6335
3220.5956,3179.2795
3622.8281,3641.9067
3410.4103,3493.0095
3427.7884,3381.9495
3525.4562,3450.7388
3226.6535,3363.2844
3498.8576,3485.0664
3370.9604,3428.6057
3502.2332,3471.9285
3427.2608,3394.5198
3416.6325,3436.4785
3603.7046,3558.2544
3538.7631,3545.9233
3338.7597,3330.8977
3336.7589,3416.7498
3537.2397,3439.896
3422.9159,3488.831
3498.6877,3456.8635
3286.6098,3270.4736
3650.5551,3622.2383
3427.9075,3414.7693
3408.5741,3434.097
3417.2031,3361.0916
3564.3679,3534.716
3369.2382,3417.831
3397.3109,3366.85
3473.4879,3445.4368
3627.0233,3612.093
3554.7443,3446.1526
3367.142,3380.937
3600.7343,3634.3984
3512.3537,3473.7305
3493.2203,3544.0957
3213.9343,3426.3872
3418.9305,3375.1719
3528.3299,3521.515
3553.8219,3463.3667
3579.5723,3523.1038
3332.5804,3305.565
3416.578,3372.7522
3545.9594,3446.2751
3406.3731,3431.7632
3621.5821,3567.964
3328.5273,3333.563
3386.0827,3392.812
3410.1671,3302.9197
3480.3172,3451.997
3477.6511,3424.5115
3595.2414,3532.0247
3238.7171,3321.93
3332.4702,3288.5847
3490.8903,3473.031
3409.6138,3427.5923
3379.6968,3377.5146
3408.9594,3365.427
3437.3461,3455.988
3412.9639,3446.0986
3348.8155,3432.7383
3620.5057,3547.9858
3565.6889,3519.3958
3401.2031,3480.7576
3292.7225,3259.2947
3462.7333,3465.972
3455.6829,3510.2625
3179.5476,3186.662
3509.0205,3522.4358
3435.9775,3353.4753
3312.908,3413.9531
3373.4221,3370.631
3371.8652,3362.265
3447.4236,3414.7456
3664.0905,3578.8113
3379.2701,3416.6057
3588.148,3578.3428
3264.4524,3252.5671
3365.479,3314.79
3394.0592,3430.8726
3573.2329,3542.3965
3294.7531,3315.3774
3487.3534,3414.175
3539.0283,3607.8105
3360.5779,3410.1301
3465.5152,3527.1667
3486.2795,3491.153
3479.8856,3439.6357
3728.2015,3592.5603
3477.5684,3499.4841
3216.3132,3253.6174
3469.3757,3440.5332
3567.5036,3525.8367
3478.5126,3519.9688
3564.4138,3445.4377
3404.0351,3468.028
3376.8808,3359.0024
3555.8144,3562.1243
3541.9128,3487.5518
3518.7458,3495.5156
3458.1327,3405.6035
3386.6417,3369.29
3246.2482,3419.2556
3442.8828,3459.4126
3481.618,3491.5144
3475.5263,3460.4924
3450.1978,3468.3948
3608.2369,3606.2952
3400.2959,3414.7446
3307.498,3288.6887
3459.5901,3488.3452
3760.0794,3682.0234
3190.1398,3167.2468
3545.4496,3499.2175
3491.1413,3452.327
3529.1225,3483.894
3219.8621,3365.1697
3185.3671,3185.3997
3493.0053,3413.176
3443.3106,3441.0186
3147.5811,3151.4038
3313.7973,3312.3489
3059.1682,3158.5996
3493.4192,3502.5933
3420.0772,3416.2693
3465.8844,3470.978
3414.909,3432.8525
3527.0338,3437.4385
3477.7025,3408.073
3394.2805,3398.4211
3468.1329,3517.7517
3386.4402,3402.606
3370.9231,3374.3818
3491.6116,3630.2383
3450.4899,3508.644
3308.1236,3298.6282
3458.3282,3444.3972
3273.2213,3171.3284
3340.5839,3267.4294
3454.309,3458.981
3380.5779,3418.5496
3295.9698,3274.221
3519.4477,3444.5461
3440.4534,3380.4788
3324.9747,3294.741
3580.1755,3580.0393
3511.1935,3479.2969
3389.4644,3446.2222
3618.4863,3547.9746
3398.5657,3446.8955
3364.9749,3497.266
3240.5719,3200.7666
3397.0492,3323.4016
3415.7128,3462.183
3584.1645,3530.2598
3312.8787,3344.421
3643.3174,3538.437
3546.2746,3519.5818
3467.6268,3442.497
3384.3209,3311.9595
3517.317,3455.0205
3389.1507,3443.504
3528.814,3553.195
3701.9492,3750.377
3394.8126,3419.811
3497.9185,3515.5322
3576.2604,3512.0618
3331.6015,3322.69
3557.5302,3467.0486
3432.7719,3457.2185
3514.8468,3542.895
3391.5398,3475.754
3492.1963,3493.2112
3444.2429,3416.8013
3514.0072,3535.8164
3553.5614,3448.3638
3527.3897,3591.3748
3364.3804,3366.6182
3383.1687,3419.5544
3450.6608,3437.7017
3657.3813,3568.7407
3610.7362,3631.5332
3322.498,3335.307
3623.6958,3535.1697
3607.9421,3594.372
3533.0453,3509.7258
3409.3689,3415.8872
3234.0327,3251.0293
3197.1797,3350.142
3575.3863,3521.4446
3256.5118,3322.9158
3618.5852,3534.081
3500.2746,3509.0317
3452.1136,3365.7302
3414.4178,3507.233
3277.1748,3312.337
3354.6098,3340.0103
3383.3864,3452.361
3571.1105,3514.3845
3528.1703,3528.1328
3600.3464,3491.4226
3354.7977,3414.2378
3582.9757,3526.7627
3710.8745,3720.895
3439.3992,3386.4578
3409.5404,3319.2947
3706.2567,3669.0327
3461.5081,3447.888
3453.7905,3519.547
3488.7014,3512.3635
3510.9466,3496.5
3462.8445,3533.77
3214.9288,3259.386
3415.3014,3465.84
3608.956,3561.963
3253.9204,3221.178
3504.4704,3513.1675
3409.5255,3351.3198
3443.5763,3548.3008
3497.4829,3509.358
3552.0104,3610.2876
3146.0842,3334.8462
3114.3044,3041.1375
3518.655,3465.3748
3639.9454,3617.4182
3432.8652,3406.1855
3534.714,3556.8796
3301.0878,3251.7979
3484.4789,3482.38
3522.0869,3514.1616
3526.7009,3536.51
3507.4054,3486.008
3166.7901,3173.444
