Actual_Value,Predicted_Value
3608.2625,3614.4258
3415.9312,3403.0862
3396.7995,3411.3132
3290.2926,3362.616
3468.9517,3471.1865
3308.286,3305.274
3537.2983,3528.8293
3436.2225,3446.8606
3319.6426,3332.8298
3343.8313,3347.5356
3270.7929,3277.9768
3532.6751,3523.5024
3392.4407,3399.9924
3437.9471,3454.0386
3344.5924,3353.9045
3486.5027,3484.611
3583.9548,3579.7046
3333.1265,3352.9622
3341.3032,3321.436
3220.5956,3183.249
3622.8281,3583.8564
3410.4103,3410.0217
3427.7884,3427.949
3525.4562,3539.7185
3226.6535,3232.7131
3498.8576,3509.9316
3370.9604,3395.1155
3502.2332,3517.688
3427.2608,3424.7998
3416.6325,3408.3542
3603.7046,3600.5095
3538.7631,3547.8337
3338.7597,3345.4062
3336.7589,3349.2375
3537.2397,3537.5247
3422.9159,3413.9644
3498.6877,3488.242
3286.6098,3300.283
3650.5551,3654.708
3427.9075,3438.5454
3408.5741,3403.3696
3417.2031,3386.8047
3564.3679,3580.6433
3369.2382,3386.4814
3397.3109,3397.2903
3473.4879,3455.0344
3627.0233,3635.3484
3554.7443,3561.2202
3367.142,3361.607
3600.7343,3623.596
3512.3537,3519.5386
3493.2203,3509.0947
3213.9343,3227.7932
3418.9305,3423.306
3528.3299,3518.284
3553.8219,3551.9326
3579.5723,3597.7908
3332.5804,3347.0967
3416.578,3429.7888
3545.9594,3580.0286
3406.3731,3410.4182
3621.5821,3619.062
3328.5273,3333.434
3386.0827,3402.1628
3410.1671,3431.2327
3480.3172,3469.4592
3477.6511,3494.8604
3595.2414,3598.1235
3238.7171,3246.4783
3332.4702,3334.3232
3490.8903,3485.2112
3409.6138,3420.3735
3379.6968,3343.2195
3408.9594,3419.5422
3437.3461,3434.208
3412.9639,3413.6523
3348.8155,3358.913
3620.5057,3612.563
3565.6889,3569.918
3401.2031,3395.6082
3292.7225,3281.0295
3462.7333,3499.9
3455.6829,3461.539
3179.5476,3188.488
3509.0205,3485.0188
3435.9775,3450.0647
3312.908,3324.9648
3373.4221,3359.4622
3371.8652,3381.1863
3447.4236,3438.6248
3664.0905,3612.1753
3379.2701,3419.0308
3588.148,3579.5828
3264.4524,3287.9587
3365.479,3382.9639
3394.0592,3392.64
3573.2329,3586.7568
3294.7531,3295.2993
3487.3534,3511.1353
3539.0283,3544.5034
3360.5779,3371.7488
3465.5152,3461.5205
3486.2795,3489.0352
3479.8856,3507.1362
3728.2015,3710.4202
3477.5684,3469.4482
3216.3132,3211.5361
3469.3757,3491.4128
3567.5036,3571.696
3478.5126,3493.927
3564.4138,3550.3047
3404.0351,3410.7363
3376.8808,3394.0515
3555.8144,3558.0947
3541.9128,3546.0903
3518.7458,3512.308
3458.1327,3475.1838
3386.6417,3417.277
3246.2482,3242.8545
3442.8828,3431.0752
3481.618,3486.9075
3475.5263,3474.1924
3450.1978,3448.101
3608.2369,3604.755
3400.2959,3418.2405
3307.498,3312.2188
3459.5901,3460.6057
3760.0794,3744.8447
3190.1398,3140.1008
3545.4496,3561.217
3491.1413,3471.9119
3529.1225,3514.699
3219.8621,3243.5298
3185.3671,3188.8167
3493.0053,3490.6675
3443.3106,3431.0728
3147.5811,3220.8562
3313.7973,3318.0823
3059.1682,3064.7283
3493.4192,3475.107
3420.0772,3435.2412
3465.8844,3447.4148
3414.909,3409.112
3527.0338,3506.6287
3477.7025,3473.752
3394.2805,3423.8694
3468.1329,3464.4917
3386.4402,3395.6921
3370.9231,3361.0107
3491.6116,3479.5852
3450.4899,3474.3193
3308.1236,3286.27
3458.3282,3472.7026
3273.2213,3292.3054
3340.5839,3328.6594
3454.309,3463.6797
3380.5779,3381.4324
3295.9698,3312.5168
3519.4477,3496.6038
3440.4534,3430.5715
3324.9747,3328.3188
3580.1755,3586.975
3511.1935,3497.2292
3389.4644,3392.8193
3618.4863,3630.3323
3398.5657,3420.4207
3364.9749,3363.5828
3240.5719,3253.857
3397.0492,3400.7598
3415.7128,3439.8777
3584.1645,3577.9924
3312.8787,3333.591
3643.3174,3620.8308
3546.2746,3533.3125
3467.6268,3474.8416
3384.3209,3383.6797
3517.317,3526.163
3389.1507,3390.67
3528.814,3514.2327
3701.9492,3709.0786
3394.8126,3405.3945
3497.9185,3519.9275
3576.2604,3584.5583
3331.6015,3357.2683
3557.5302,3552.8618
3432.7719,3430.0454
3514.8468,3511.834
3391.5398,3408.0696
3492.1963,3486.4292
3444.2429,3410.3965
3514.0072,3521.8423
3553.5614,3533.6853
3527.3897,3513.0469
3364.3804,3362.0876
3383.1687,3375.2227
3450.6608,3449.966
3657.3813,3656.0127
3610.7362,3606.272
3322.498,3308.772
3623.6958,3601.7761
3607.9421,3603.4167
3533.0453,3519.5928
3409.3689,3412.6638
3234.0327,3236.4836
3197.1797,3171.5024
3575.3863,3615.0188
3256.5118,3270.2876
3618.5852,3621.405
3500.2746,3520.1624
3452.1136,3466.1426
3414.4178,3422.7559
3277.1748,3306.2612
3354.6098,3323.7786
3383.3864,3351.645
3571.1105,3574.63
3528.1703,3491.8296
3600.3464,3588.8884
3354.7977,3367.2458
3582.9757,3586.419
3710.8745,3713.092
3439.3992,3456.6807
3409.5404,3421.2766
3706.2567,3667.6577
3461.5081,3463.2622
3453.7905,3461.318
3488.7014,3484.1008
3510.9466,3486.6907
3462.8445,3428.4863
3214.9288,3224.9075
3415.3014,3419.508
3608.956,3600.7856
3253.9204,3245.7605
3504.4704,3505.293
3409.5255,3371.4602
3443.5763,3421.5007
3497.4829,3479.5737
3552.0104,3545.1216
3146.0842,3186.4382
3114.3044,3132.8933
3518.655,3522.706
3639.9454,3631.9194
3432.8652,3463.6953
3534.714,3507.2896
3301.0878,3321.6775
3484.4789,3475.4832
3522.0869,3528.212
3526.7009,3515.7905
3507.4054,3505.057
3166.7901,3188.5037
3210.9535,3207.5896
3479.7164,3488.1155
3531.298,3508.6077
3473.607,3489.9163
3342.8085,3362.6973
3606.4582,3617.71
3552.9396,3565.782
3678.0888,3682.0898
3420.9121,3391.8755
3486.0984,3479.4316
3287.559,3297.4167
3336.9052,3325.5376
3386.1188,3405.0322
3443.6295,3428.3308
3511.1664,3520.8628
3444.2482,3435.524
3498.9663,3492.1113
3473.6652,3484.5457
3478.2971,3488.0378
3467.1448,3479.124
3300.5213,3299.195
3314.9462,3301.4438
3410.5494,3397.0815
3475.5757,3461.9895
3306.4116,3321.5151
3233.8162,3241.8784
3104.9398,3109.5166
3228.5752,3228.0303
3351.9711,3338.6204
3564.3061,3559.1646
3485.0737,3467.078
3401.52,3418.3699
3316.62,3326.1414
3538.3329,3517.6223
3712.1508,3697.7747
3586.7426,3578.5015
3506.3199,3469.5386
3442.4431,3441.4858
3560.2079,3568.2236
3289.3176,3270.6191
3468.4294,3471.854
3477.7842,3467.764
3551.0668,3565.5708
3164.4458,3169.6477
3541.2657,3555.1643
3477.9166,3457.4138
3474.9819,3470.4602
3482.2281,3492.3733
3455.1583,3459.1233
3291.2263,3281.5247
3653.0276,3609.2283
3529.1463,3550.0356
3567.1993,3568.7183
3306.2977,3334.2273
3445.0033,3432.0984
3507.9715,3480.4282
3541.0453,3538.2756
3361.2625,3363.861
3460.9456,3469.1743
3516.4665,3519.7239
3540.4159,3532.8916
3292.872,3300.8074
3489.7675,3505.7666
3322.6962,3317.3794
3402.323,3421.7112
3436.7454,3443.8972
3529.3884,3524.8347
3282.2407,3304.65
3265.4199,3286.058
3496.7313,3495.947
3555.0463,3554.8835
3198.0496,3228.132
3485.5552,3501.7634
3553.4146,3558.8892
3331.3754,3338.974
3589.9073,3590.0442
3280.5304,3270.5874
3534.5302,3556.405
3174.3743,3182.0493
3650.2125,3640.8662
3440.7774,3447.5503
3409.3922,3406.5186
3280.4483,3289.7314
3513.6007,3505.0422
3449.0157,3449.8005
3296.5028,3332.0857
3545.894,3543.2686
3519.3632,3510.9602
3636.8144,3620.0544
3353.7905,3351.632
3628.994,3628.1758
3441.7869,3440.8835
3442.8788,3486.5103
3433.2208,3436.0515
3224.9785,3245.3062
3202.9825,3233.3298
3464.6263,3501.5652
3591.2045,3584.684
3386.4049,3373.047
3643.6928,3612.2793
3400.8601,3398.7212
3494.5449,3495.3286
3559.5651,3576.2344
3390.0247,3419.803
3292.322,3301.8765
3424.8877,3447.4656
3225.2911,3253.784
3390.611,3399.3828
3536.6836,3526.3088
3452.0143,3430.4639
3508.3945,3527.6516
3436.778,3468.2378
3426.0932,3428.8518
3608.5448,3589.6611
3603.0135,3595.3345
3401.1001,3395.2402
3422.409,3419.287
3371.9255,3383.682
3269.4061,3269.744
3538.05,3525.936
3384.1403,3420.811
3486.014,3505.8733
3518.7471,3520.9885
3344.1339,3368.7266
3460.2297,3465.3179
3521.9059,3525.722
3568.456,3555.9685
3363.7757,3386.0322
3377.1326,3364.7283
3334.6969,3353.5996
3438.2534,3435.7817
3164.3113,3221.604
3549.4582,3546.2524
3479.2247,3468.5994
3350.3847,3373.8914
3716.9807,3730.129
3298.8297,3302.1965
3283.4249,3274.3945
3345.3275,3357.76
3446.6863,3446.6602
3624.9849,3624.9578
3364.1581,3344.868
3451.4343,3463.5159
3470.0023,3473.4138
3397.4378,3404.591
3381.4745,3401.7168
3610.5107,3623.5977
3547.6822,3538.7495
3414.4092,3452.5742
3367.9376,3377.2412
3349.9992,3348.8582
3460.3917,3471.8196
3379.0522,3389.6855
3138.1934,3149.6006
3167.1935,3201.168
3624.2068,3580.2234
3397.4932,3418.193
3365.8985,3403.6003
3519.9572,3527.9307
3406.3131,3423.318
3282.9366,3280.6746
3590.6545,3612.806
3387.647,3419.073
3336.0017,3340.7146
3555.8778,3553.1196
3484.6787,3508.1445
3397.9921,3408.2822
3686.6937,3681.3367
3542.3714,3527.4607
3350.1599,3355.4756
3373.4906,3378.749
3322.3961,3355.576
3411.2829,3427.1733
3371.6698,3344.0757
3523.0982,3496.9978
3521.3562,3521.3599
3439.608,3450.1414
3457.4844,3478.4155
3450.9283,3439.7798
3567.9953,3560.0176
3220.544,3199.1028
3291.5119,3299.3687
3165.2056,3169.33
3428.6627,3427.2676
3212.1881,3217.8086
3600.1855,3592.0054
3583.6104,3554.9368
3443.738,3456.4546
3481.2425,3490.6113
3631.0803,3571.5164
3381.9263,3395.7532
3504.4779,3512.75
3215.8894,3205.7964
3414.5045,3443.4731
3520.1732,3540.0168
3475.1512,3500.4846
3486.4587,3485.8577
3479.7668,3509.798
3465.6252,3471.6487
3406.849,3422.5815
3305.9966,3304.2551
3429.4776,3444.964
3282.3952,3293.761
3574.2593,3585.2832
3298.9794,3286.4546
3432.2734,3455.9827
3545.8139,3554.1128
3413.7881,3421.5535
3504.3293,3513.6267
3369.8641,3375.1907
3440.2293,3436.8845
3636.4074,3615.3154
3465.4497,3464.8516
3442.9501,3453.1477
3403.834,3390.4119
