Actual_Value,Predicted_Value
3608.2625,3616.8547
3415.9312,3382.887
3396.7995,3415.732
3290.2926,3250.284
3468.9517,3533.8308
3308.286,3317.0374
3537.2983,3518.1008
3436.2225,3441.3167
3319.6426,3331.1868
3343.8313,3395.805
3270.7929,3272.8716
3532.6751,3516.5342
3392.4407,3441.9104
3437.9471,3474.6548
3344.5924,3328.4897
3486.5027,3493.095
3583.9548,3558.2966
3333.1265,3302.2778
3341.3032,3388.5898
3220.5956,3286.8342
3622.8281,3590.3425
3410.4103,3408.7283
3427.7884,3422.2356
3525.4562,3542.982
3226.6535,3285.6042
3498.8576,3506.8862
3370.9604,3409.2446
3502.2332,3525.6826
3427.2608,3409.7373
3416.6325,3402.3442
3603.7046,3511.5842
3538.7631,3498.358
3338.7597,3395.1665
3336.7589,3372.3496
3537.2397,3553.2893
3422.9159,3419.5288
3498.6877,3534.5215
3286.6098,3323.2207
3650.5551,3686.7715
3427.9075,3431.2344
3408.5741,3421.5417
3417.2031,3456.273
3564.3679,3540.5645
3369.2382,3392.9954
3397.3109,3368.396
3473.4879,3505.3914
3627.0233,3630.4744
3554.7443,3577.1006
3367.142,3327.9824
3600.7343,3611.6125
3512.3537,3498.277
3493.2203,3481.3308
3213.9343,3259.779
3418.9305,3390.0884
3528.3299,3485.7375
3553.8219,3563.4011
3579.5723,3590.5608
3332.5804,3368.063
3416.578,3428.8975
3545.9594,3486.1091
3406.3731,3452.1812
3621.5821,3701.4944
3328.5273,3384.7275
3386.0827,3488.9644
3410.1671,3367.4524
3480.3172,3562.2383
3477.6511,3396.2478
3595.2414,3579.5
3238.7171,3173.5205
3332.4702,3320.2961
3490.8903,3484.3813
3409.6138,3408.856
3379.6968,3370.7031
3408.9594,3425.7385
3437.3461,3526.7766
3412.9639,3461.0112
3348.8155,3403.2024
3620.5057,3623.2727
3565.6889,3580.3245
3401.2031,3413.442
3292.7225,3251.7427
3462.7333,3474.2896
3455.6829,3440.9019
3179.5476,3187.6443
3509.0205,3516.9924
3435.9775,3432.6526
3312.908,3337.226
3373.4221,3365.7183
3371.8652,3378.8455
3447.4236,3441.296
3664.0905,3647.6187
3379.2701,3376.9434
3588.148,3537.5303
