Actual_Value,Predicted_Value
3608.2625,3578.2168
3415.9312,3356.8481
3396.7995,3512.8328
3290.2926,3409.8538
3468.9517,3467.834
3308.286,3408.451
3537.2983,3375.2031
3436.2225,3477.839
3319.6426,3344.9375
3343.8313,3402.1702
3270.7929,3245.2305
3532.6751,3481.8735
3392.4407,3424.3088
3437.9471,3469.678
3344.5924,3348.516
3486.5027,3484.1772
3583.9548,3451.7908
3333.1265,3336.3137
3341.3032,3381.5303
3220.5956,3468.6426
3622.8281,3529.1726
3410.4103,3396.3154
3427.7884,3455.4277
3525.4562,3533.0037
3226.6535,3369.5637
3498.8576,3435.0225
3370.9604,3430.6335
3502.2332,3449.069
3427.2608,3444.7695
3416.6325,3450.2717
3603.7046,3528.111
3538.7631,3522.774
3338.7597,3336.684
3336.7589,3377.934
3537.2397,3501.0093
3422.9159,3430.526
3498.6877,3471.6772
3286.6098,3383.8757
3650.5551,3462.7788
3427.9075,3497.0942
3408.5741,3499.568
3417.2031,3415.0103
3564.3679,3434.9429
3369.2382,3379.0637
3397.3109,3433.7407
3473.4879,3484.4426
3627.0233,3575.6987
3554.7443,3589.8147
3367.142,3384.7102
3600.7343,3432.8857
3512.3537,3443.07
3493.2203,3571.681
3213.9343,3298.0798
3418.9305,3398.92
3528.3299,3532.4102
3553.8219,3586.099
3579.5723,3564.0369
3332.5804,3425.7754
3416.578,3423.9587
3545.9594,3445.1938
3406.3731,3441.2842
3621.5821,3599.7593
3328.5273,3415.267
3386.0827,3471.0872
3410.1671,3369.321
3480.3172,3476.0322
3477.6511,3375.1755
3595.2414,3494.4092
3238.7171,3340.0286
3332.4702,3415.2952
3490.8903,3482.0596
3409.6138,3477.1362
3379.6968,3432.3564
3408.9594,3472.1697
3437.3461,3394.8638
3412.9639,3414.5806
3348.8155,3472.2273
3620.5057,3528.243
3565.6889,3546.6003
3401.2031,3462.1504
3292.7225,3221.3806
3462.7333,3474.7717
3455.6829,3551.5925
3179.5476,3339.5542
3509.0205,3509.083
3435.9775,3409.1191
3312.908,3441.746
3373.4221,3276.809
3371.8652,3463.293
3447.4236,3451.3477
3664.0905,3548.2568
3379.2701,3396.046
3588.148,3538.1582
3264.4524,3398.2427
3365.479,3376.476
3394.0592,3371.1833
3573.2329,3670.0486
3294.7531,3387.16
